2018-05-09 14:48:05,501 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:05,577 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:05,628 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:05,678 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:05,740 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:05,801 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:05,862 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:05,921 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:05,987 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,047 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,106 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,168 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,228 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,288 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,348 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,413 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,477 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,545 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
